Username Tiktok,Nama,Followers,Likes,Food & Cooking,Fashion,Entertainment,Travel & Accomodation,Beauty,Healthcare,Technology,Automotive,Education,Sports,Finance,Tips & Trick About Career
@otoproject,,14700,548400,0,0,0,0,0,0,0,1,0,0,0,0
@jeeplife.id,,101900,1500000,0,0,0,0,0,0,0,1,0,0,0,0
@aristagroup.id,Arista Group,54300,888000,0,0,0,0,0,0,0,1,0,0,0,0
@jazzcarstyle,,75800,1600000,0,0,0,0,0,0,0,1,0,0,0,0
@auto_high,,56900,1700000,0,0,0,0,0,0,0,1,0,0,0,0
@otoevolution_makassar,,1183,8370,0,0,0,0,0,0,0,1,0,0,0,0
@travelermiskin,,38000,1400000,0,0,0,1,0,0,0,0,0,0,0,0
@backpackertampan,,2000000,31400000,0,0,0,1,0,0,0,0,0,0,0,0
@cannyclau,Canny Claudya,366700,9300000,0,0,0,1,0,0,0,0,0,0,0,0
@gungafif,Agung Afif,130100,1600000,0,0,0,1,0,0,0,0,0,0,0,0
@daviniafc,Davinia,17400,872000,0,0,0,1,0,0,0,0,0,0,0,0
@backpackertoraja,,16400,545300,0,0,0,1,0,0,0,0,0,0,0,0
@jefripradewa,Jefri Pradewa,226600,11100000,0,0,0,1,0,0,0,0,0,0,0,0
@cynthia_cimin,Cynthiacimin,157600,8800000,0,0,0,1,0,0,0,0,0,0,0,0
@ayeshaikke,AyeshaIskandar,5452,188100,0,0,0,1,0,0,0,0,0,0,0,0
@muhammad.wahyu___,,36700,2000000,0,0,0,1,0,0,0,0,0,0,0,0
@indra.kurniadi,Indra Kurniadi,31900,932100,0,0,0,1,0,0,0,0,0,0,0,0
@fasyaryn,,6337,259800,1,0,0,1,0,0,0,0,0,0,0,0
@molotenggeng50gb,,145000,2000000,0,0,0,1,0,0,0,0,0,0,0,0
@emeraldyrafael,,1200000,24100000,0,0,1,0,0,0,0,0,0,0,0,0
@clarissaputrih,Clarissa Putri,9111000,30700000,0,0,1,0,1,0,0,0,0,0,0,0
@ninakpw,,36200,629900,0,1,1,0,0,0,0,0,0,0,0,0
@sandradlubiss,Sandralubis,84500,3400000,0,0,1,0,1,0,0,0,0,0,0,0
@keanuagl,Keanuagl,1000000,10700000,0,1,1,0,0,0,0,0,0,0,0,0
@rizkyfebian77,Rizky Febian,3500000,38000000,0,0,1,0,0,0,0,0,0,0,0,0
@rensia_sanvira,Rensia Sanvira,4500000,118000000,0,0,1,0,0,0,0,0,1,0,0,0
@resep_debm,,9200000,200000000,1,0,0,0,0,0,0,0,0,0,0,0
@aldoagustino21,Aldi Giustino,2100000,32400000,0,0,1,0,0,0,0,0,0,0,0,0
@fadlanhalao,Fadlan Holao,2000000,55800000,0,0,1,0,0,0,0,0,0,0,0,0
@jenelim,,314500,9800000,0,0,0,0,0,1,0,0,0,0,0,0
@haytherexx,Hayin,30200,787400,0,0,0,0,0,1,0,0,0,0,0,0
@gracemaretta,Grace Maretta,71700,2100000,0,0,0,0,0,1,0,0,0,0,0,0
@christineang93,Christine A,256500,5400000,0,0,0,0,0,1,0,0,0,0,0,0
@ananzaprili,Ananza,694700,24700000,0,0,0,0,0,1,0,0,0,0,0,0
@sundarindah,Indah,122200,1800000,0,0,0,0,0,1,0,0,0,0,0,0
@stevanyhany,Hany,776400,34800000,1,0,0,0,0,0,0,0,0,0,0,0
@venithyacalistaa,Veni,2700000,104600000,1,0,0,0,0,0,0,0,0,0,0,0
@sonnyyyxo,Sonny,469900,10400000,0,1,0,0,0,0,0,0,0,0,0,0
@ootdkekiniannn_,,59900,1400000,0,1,0,0,0,0,0,0,0,0,0,0
@junayerr,Juniar,542400,15000000,0,1,0,0,0,0,0,0,0,0,0,0
@beliyuks,,29700,1400000,0,1,0,0,0,0,0,0,0,0,0,0
@aestheticoutfitforu,,46300,1600000,0,1,0,0,0,0,0,0,0,0,0,0
@leinnns,Lein,206400,8300000,0,1,0,0,0,0,0,0,0,0,0,0
@belvahmrr,,302500,7200000,0,1,0,0,0,0,0,0,0,0,0,0
@bukanhaurazhrfh,,374600,9800000,0,1,0,0,0,0,0,0,0,0,0,0
@afiqahhns,Fiqa,192100,4200000,0,1,0,0,0,0,0,0,0,0,0,0
@rachmafira12,,363900,14500000,1,0,0,0,0,0,0,0,0,0,0,0
@tamarajessica,Jessica Effendy,2100000,65600000,1,0,0,0,0,0,0,0,0,0,0,0
@jejenvalda,Jennifer Valda,3700000,116900000,1,0,1,0,0,0,0,0,0,0,0,0
@suryadanna,,409600,26200000,0,0,0,1,0,0,0,0,0,0,0,0
@travelbuddiesid,,67900,1300000,0,0,0,1,0,0,0,0,0,0,0,0
@jumadilmusa13,Jumadil Musa,2000000,16800000,0,0,0,0,0,0,0,0,0,1,0,0
@akuferdiann,,3800000,57900000,0,0,1,0,0,0,0,0,0,0,0,0
@idgitaf,Idgitaf,2500000,56500000,0,0,1,0,0,0,0,0,0,0,0,0
@arnoldpo,,2200000,26300000,1,0,1,0,0,0,0,0,0,0,0,0
@jharnabhagwani,Jharna Bhagwani,11200000,175600000,0,1,0,0,1,0,0,0,0,0,0,0
@miss.venna,,65300,1400000,0,0,0,0,0,1,0,0,1,0,0,0
@owhyuni,,505700,10000000,0,0,0,0,0,1,0,0,1,0,0,0
@drkevinmak,Kevin Mak,3700000,46400000,0,0,0,0,0,1,0,0,1,0,0,0
@bidanseruni140,Seruni,526900,10900000,0,0,0,0,0,1,0,0,1,0,0,0
@dr.atika,Atika,152300,1300000,0,0,0,0,0,1,0,0,0,0,0,0
@diarywresty,Priscilla Wresty,62400,3100000,0,0,0,0,0,0,0,0,1,0,0,1
@indriwiyanii,,89700,2000000,0,0,0,0,0,1,0,0,1,0,0,0
@ulindatobing,Ulindatobings,146300,1000000,0,0,0,0,0,0,0,0,1,1,0,0
@rsyx,Ryan Syach,96900,2600000,0,0,0,0,0,0,0,0,1,1,0,0
@mvsuperofficial,,54200,631700,0,0,0,0,0,1,0,0,0,1,0,0
@romeo_calisthenic,Romeo Calisthenics,313900,2500000,0,0,0,0,0,0,0,0,1,1,1,1
@gressindacp,Gress,281700,7200000,0,0,0,0,0,0,0,0,1,1,0,0
